date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2018-07-03;84.42;0.12;0.12;0;0.432889398;0.277175945;1.561785595;60.96472703
2018-07-04;84.4;-0.02;0;0.02;0.389600458;0.25145835;1.549363772;60.77452692
2018-07-05;85.2;0.8;0.8;0;0.430640412;0.226312515;1.902857258;65.55118247
2018-07-06;85.06;-0.14;0;0.14;0.387576371;0.217681264;1.780476484;64.03494128
2018-07-09;85.86;0.8;0.8;0;0.428818734;0.195913137;2.188820717;68.64044458
2018-07-10;86.12;0.26;0.26;0;0.411936861;0.176321824;2.336278357;70.02648182
2018-07-11;84.74;-1.38;0;1.38;0.370743175;0.296689641;1.249599322;55.54763952
2018-07-12;84.84;0.1;0.1;0;0.343668857;0.267020677;1.287049605;56.27554392
2018-07-13;84.94;0.1;0.1;0;0.319301971;0.240318609;1.328661031;57.05686716
2018-07-16;85.28;0.34;0.34;0;0.321371774;0.216286749;1.485859751;59.77246908
2018-07-17;88.92;3.64;3.64;0;0.653234597;0.194658074;3.355805308;77.04213275
2018-07-18;88.86;-0.06;0;0.06;0.587911137;0.181192266;3.244681184;76.4411046
2018-07-19;89.1;0.24;0.24;0;0.553120023;0.16307304;3.3918545;77.23057537
2018-07-20;90.18;1.08;1.08;0;0.605808021;0.146765736;4.12772108;80.49815923
2018-07-23;90.74;0.56;0.56;0;0.601227219;0.132089162;4.551677134;81.98742514
2018-07-24;92.52;1.78;1.78;0;0.719104497;0.118880246;6.048982246;85.81355485
2018-07-25;92.52;0;0;0;0.647194047;0.106992221;6.048982246;85.81355485
2018-07-26;93.04;0.52;0.52;0;0.634474643;0.096292999;6.589000736;86.82303462
2018-07-27;93.64;0.6;0.6;0;0.631027178;0.086663699;7.281332133;87.92464806
2018-07-30;93.58;-0.06;0;0.06;0.567924461;0.083997329;6.761220445;87.11542847
2018-07-31;94.08;0.5;0.5;0;0.561132014;0.075597596;7.422617134;88.12720578
2018-08-01;93.62;-0.46;0;0.46;0.505018813;0.114037837;4.428519755;81.57877202
2018-08-02;93.4;-0.22;0;0.22;0.454516932;0.124634053;3.64681177;78.47986857
2018-08-03;93.82;0.42;0.42;0;0.451065239;0.112170648;4.021241273;80.08460567
2018-08-06;93.36;-0.46;0;0.46;0.405958715;0.146953583;2.7624962;73.42190007
2018-08-07;94.06;0.7;0.7;0;0.435362843;0.132258225;3.291763852;76.69955677
2018-08-08;94.12;0.06;0.06;0;0.397826559;0.119032402;3.342170295;76.97004189
2018-08-09;95.44;1.32;1.32;0;0.490043903;0.107129162;4.574327791;82.06061722
